phi1,phi2,phi3,phi4,theta1,theta2,theta3,theta4,deltaphi12,deltaphi23,deltaphi34,deltatheta12,deltatheta23,deltatheta34,deltatheta14,cluster1,cluster2,cluster3,cluster4,NCPPF
564,555,548,548,14,19,15,16,9,7,0,-5,4,-1,-2,2,2,1,1,4
719,712,710,707,17,16,18,16,7,2,3,1,-2,2,1,2,1,2,1,4
714,710,717,712,13,14,15,13,4,-7,5,-1,-1,2,0,2,2,1,1,4
839,832,834,834,21,19,20,21,7,-2,0,2,-1,-1,0,1,2,1,1,4
1017,1014,1014,1017,20,19,20,21,3,0,-3,1,-1,-1,-1,1,2,2,1,4
267,253,253,253,14,14,15,13,14,0,0,0,-1,2,1,3,1,1,3,4
771,766,764,766,13,14,15,13,5,2,-2,-1,-1,2,0,2,2,3,2,4
447,445,447,445,17,19,18,18,2,-2,2,-2,1,0,-1,2,1,2,1,4
1040,1040,1038,1036,13,14,12,13,0,2,2,-1,2,-1,0,1,1,2,1,4
958,951,951,953,13,14,12,13,7,0,-2,-1,2,-1,0,2,3,1,2,4
890,881,876,874,14,14,13,13,9,5,2,0,1,0,1,1,3,1,2,4
787,785,785,792,18,19,18,19,2,0,-7,-1,1,-1,-1,3,2,2,3,4
431,426,424,417,20,19,20,21,5,2,7,1,-1,-1,-1,1,1,2,1,4
824,820,817,820,18,19,18,19,4,3,-3,-1,1,-1,-1,1,1,2,1,4
468,466,464,459,13,14,12,13,2,2,5,-1,2,-1,0,1,2,1,1,4
764,761,757,759,17,16,18,16,3,4,-2,1,-2,2,1,1,2,2,1,4
604,597,597,597,14,17,15,16,7,0,0,-3,2,-1,-2,1,2,2,2,4
895,893,895,890,18,19,18,19,2,-2,5,-1,1,-1,-1,1,2,3,1,4
693,689,684,689,13,14,15,13,4,5,-5,-1,-1,2,0,1,3,3,1,4
1024,1021,1017,1019,20,19,20,21,3,4,-2,1,-1,-1,-1,2,3,1,2,4
951,944,939,944,13,14,12,13,7,5,-5,-1,2,-1,0,3,2,2,2,4
220,208,203,199,18,17,18,16,12,5,4,1,-1,2,2,3,2,2,2,4
314,309,314,314,14,17,15,16,5,-5,0,-3,2,-1,-2,1,1,3,1,4
588,586,578,578,18,19,18,19,2,8,0,-1,1,-1,-1,2,1,2,2,4
527,522,517,522,14,14,15,13,5,5,-5,0,-1,2,1,2,2,2,2,4
452,447,443,445,13,16,15,16,5,4,-2,-3,1,-1,-3,2,2,2,3,4
260,257,257,257,21,19,20,18,3,0,0,2,-1,2,3,2,3,1,3,4
895,890,893,890,14,17,15,16,5,-3,3,-3,2,-1,-2,1,1,2,3,4
304,302,302,300,18,17,18,19,2,0,2,1,-1,-1,-1,1,2,2,1,4
974,984,974,974,20,19,20,21,-10,10,0,1,-1,-1,-1,1,1,1,1,4
351,344,342,339,13,14,12,13,7,2,3,-1,2,-1,0,3,2,1,2,4
339,332,325,332,13,14,15,13,7,7,-7,-1,-1,2,0,2,1,2,1,4
862,848,850,850,18,19,18,18,14,-2,0,-1,1,0,0,1,1,2,2,4
515,510,506,503,18,17,18,19,5,4,3,1,-1,-1,-1,1,3,3,2,4
248,239,236,236,14,14,13,13,9,3,0,0,1,0,1,3,1,2,2,4
478,475,473,473,13,14,12,13,3,2,0,-1,2,-1,0,1,2,3,1,4
543,539,536,543,18,19,20,18,4,3,-7,-1,-1,2,0,3,1,2,1,4
489,475,475,478,14,14,15,16,14,0,-3,0,-1,-1,-2,2,2,2,1,4
974,967,967,965,13,14,15,13,7,0,2,-1,-1,2,0,3,2,2,1,4
806,799,801,803,21,19,21,19,7,-2,-2,2,-2,2,2,3,2,1,2,4
581,571,562,564,18,17,18,18,10,9,-2,1,-1,0,0,1,3,3,2,4
501,496,496,499,18,17,18,16,5,0,-3,1,-1,2,2,3,3,3,2,4
274,271,269,267,18,17,18,18,3,2,2,1,-1,0,0,2,3,2,3,4
445,443,440,438,20,19,20,21,2,3,2,1,-1,-1,-1,1,2,1,2,4
928,916,911,909,14,14,15,13,12,5,2,0,-1,2,1,1,2,2,1,4
185,1078,1073,1071,18,19,20,18,-893,5,2,-1,-1,2,0,2,1,3,2,4
740,747,740,740,17,19,18,18,-7,7,0,-2,1,0,-1,1,2,3,1,4
520,513,513,515,21,19,20,21,7,0,-2,2,-1,-1,0,1,2,2,1,4
